combination,temporality,num of bars,target,range size,min atr,net profit,max drawdown,profit/dd,total trades,percent profitable,max con loss,sharpe ratio
1,1.0,1.0,4.0,4.0,12.0,704.8,412.54999999999745,1.71,22.0,50.0,3.0,1.0
2,1.0,1.0,4.0,4.0,14.0,704.8,412.54999999999745,1.71,22.0,50.0,3.0,1.0
3,1.0,1.0,4.0,8.0,12.0,704.8,412.54999999999745,1.71,22.0,50.0,3.0,1.0
4,1.0,1.0,4.0,8.0,14.0,704.8,412.54999999999745,1.71,22.0,50.0,3.0,1.0
5,2.0,1.0,4.0,4.0,12.0,272.6,355.2499999999927,0.77,14.0,50.0,2.0,0.48
6,2.0,1.0,4.0,4.0,14.0,272.6,355.2499999999927,0.77,14.0,50.0,2.0,0.48
7,2.0,1.0,4.0,8.0,12.0,-50.2,810.7499999999945,-0.06,22.0,50.0,2.0,0.04
8,2.0,1.0,4.0,8.0,14.0,-50.2,810.7499999999945,-0.06,22.0,50.0,2.0,0.04
9,5.0,1.0,4.0,4.0,12.0,-180.5,572.2999999999902,-0.32,5.0,40.0,3.0,-0.34
10,5.0,1.0,4.0,4.0,14.0,-180.5,572.2999999999902,-0.32,5.0,40.0,3.0,-0.34
11,5.0,1.0,4.0,8.0,12.0,938.0,563.4499999999916,1.66,20.0,65.0,2.0,1.08
12,5.0,1.0,4.0,8.0,14.0,938.0,563.4499999999916,1.66,20.0,65.0,2.0,1.08
13,1.0,2.0,4.0,4.0,12.0,272.6,355.2499999999927,0.77,14.0,50.0,2.0,0.48
14,1.0,2.0,4.0,4.0,14.0,272.6,355.2499999999927,0.77,14.0,50.0,2.0,0.48
15,1.0,2.0,4.0,8.0,12.0,-50.2,810.7499999999945,-0.06,22.0,50.0,2.0,0.04
16,1.0,2.0,4.0,8.0,14.0,-50.2,810.7499999999945,-0.06,22.0,50.0,2.0,0.04
17,2.0,2.0,4.0,4.0,12.0,-150.5,542.2999999999956,-0.28,5.0,40.0,3.0,-0.28
18,2.0,2.0,4.0,4.0,14.0,-150.5,542.2999999999956,-0.28,5.0,40.0,3.0,-0.28
19,2.0,2.0,4.0,8.0,12.0,468.0,641.6499999999978,0.73,20.0,60.0,2.0,0.56
20,2.0,2.0,4.0,8.0,14.0,468.0,641.6499999999978,0.73,20.0,60.0,2.0,0.56
21,5.0,2.0,4.0,4.0,12.0,-204.1,202.0500000000011,-1.01,1.0,0.0,1.0,
22,5.0,2.0,4.0,4.0,14.0,-204.1,202.0500000000011,-1.01,1.0,0.0,1.0,
23,5.0,2.0,4.0,8.0,12.0,1550.3,334.350000000004,4.64,17.0,76.47,1.0,2.01
24,5.0,2.0,4.0,8.0,14.0,1550.3,334.350000000004,4.64,17.0,76.47,1.0,2.01
25,1.0,1.0,8.0,4.0,12.0,1729.8,786.6499999999905,2.2,22.0,40.91,6.0,1.43
26,1.0,1.0,8.0,4.0,14.0,1729.8,786.6499999999905,2.2,22.0,40.91,6.0,1.43
27,1.0,1.0,8.0,8.0,12.0,1729.8,786.6499999999905,2.2,22.0,40.91,6.0,1.43
28,1.0,1.0,8.0,8.0,14.0,1729.8,786.6499999999905,2.2,22.0,40.91,6.0,1.43
29,2.0,1.0,8.0,4.0,12.0,1087.6,673.4499999999844,1.61,14.0,42.86,4.0,1.07
30,2.0,1.0,8.0,4.0,14.0,1087.6,673.4499999999844,1.61,14.0,42.86,4.0,1.07
31,2.0,1.0,8.0,8.0,12.0,1564.8,673.4499999999844,2.32,22.0,45.45,4.0,1.15
32,2.0,1.0,8.0,8.0,14.0,1564.8,673.4499999999844,2.32,22.0,45.45,4.0,1.15
33,5.0,1.0,8.0,4.0,12.0,219.5,572.2999999999902,0.38,5.0,40.0,3.0,0.33
34,5.0,1.0,8.0,4.0,14.0,219.5,572.2999999999902,0.38,5.0,40.0,3.0,0.33
35,5.0,1.0,8.0,8.0,12.0,2923.0,853.4499999999898,3.42,20.0,60.0,4.0,2.13
36,5.0,1.0,8.0,8.0,14.0,2923.0,853.4499999999898,3.42,20.0,60.0,4.0,2.13
37,1.0,2.0,8.0,4.0,12.0,1087.6,673.4499999999844,1.61,14.0,42.86,4.0,1.07
38,1.0,2.0,8.0,4.0,14.0,1087.6,673.4499999999844,1.61,14.0,42.86,4.0,1.07
39,1.0,2.0,8.0,8.0,12.0,1564.8,673.4499999999844,2.32,22.0,45.45,4.0,1.15
40,1.0,2.0,8.0,8.0,14.0,1564.8,673.4499999999844,2.32,22.0,45.45,4.0,1.15
41,2.0,2.0,8.0,4.0,12.0,249.5,542.2999999999938,0.46,5.0,40.0,3.0,0.38
42,2.0,2.0,8.0,4.0,14.0,249.5,542.2999999999938,0.46,5.0,40.0,3.0,0.38
43,2.0,2.0,8.0,8.0,12.0,2253.0,853.4499999999898,2.64,20.0,55.0,4.0,1.61
44,2.0,2.0,8.0,8.0,14.0,2253.0,853.4499999999898,2.64,20.0,55.0,4.0,1.61
45,5.0,2.0,8.0,4.0,12.0,-204.1,202.0500000000011,-1.01,1.0,0.0,1.0,
46,5.0,2.0,8.0,4.0,14.0,-204.1,202.0500000000011,-1.01,1.0,0.0,1.0,
47,5.0,2.0,8.0,8.0,12.0,3530.3,754.3500000000095,4.68,17.0,70.59,3.0,2.9
48,5.0,2.0,8.0,8.0,14.0,3530.3,754.3500000000095,4.68,17.0,70.59,3.0,2.9
